productid;name;productnumber;color;safetystocklevel;reorderpoint;standardcost;listprice;size;sizeunitmeasurecode;weight;daystomanufacture;productsubcategoryid
1;Adjustable Race;AR-5381;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
2;Bearing Ball;BA-8327;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
3;BB Ball Bearing;BE-2349;NULL;800;600;0;0;NULL;NULL;NULL;1;NULL
4;Headset Ball Bearings;BE-2908;NULL;800;600;0;0;NULL;NULL;NULL;0;NULL
316;Blade;BL-2036;NULL;800;600;0;0;NULL;NULL;NULL;1;NULL
317;LL Crankarm;CA-5965;Black;500;375;0;0;NULL;NULL;NULL;0;NULL
318;ML Crankarm;CA-6738;Black;500;375;0;0;NULL;NULL;NULL;0;NULL
319;HL Crankarm;CA-7457;Black;500;375;0;0;NULL;NULL;NULL;0;NULL
320;Chainring Bolts;CB-2903;Silver;1000;750;0;0;NULL;NULL;NULL;0;NULL
321;Chainring Nut;CN-6137;Silver;1000;750;0;0;NULL;NULL;NULL;0;NULL
322;Chainring;CR-7833;Black;1000;750;0;0;NULL;NULL;NULL;0;NULL
323;Crown Race;CR-9981;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
324;Chain Stays;CS-2812;NULL;1000;750;0;0;NULL;NULL;NULL;1;NULL
325;Decal 1;DC-8732;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
326;Decal 2;DC-9824;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
327;Down Tube;DT-2377;NULL;800;600;0;0;NULL;NULL;NULL;1;NULL
328;Mountain End Caps;EC-M092;NULL;1000;750;0;0;NULL;NULL;NULL;1;NULL
329;Road End Caps;EC-R098;NULL;1000;750;0;0;NULL;NULL;NULL;1;NULL
330;Touring End Caps;EC-T209;NULL;1000;750;0;0;NULL;NULL;NULL;1;NULL
331;Fork End;FE-3760;NULL;800;600;0;0;NULL;NULL;NULL;1;NULL
332;Freewheel;FH-2981;Silver;500;375;0;0;NULL;NULL;NULL;0;NULL
341;Flat Washer 1;FW-1000;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
342;Flat Washer 6;FW-1200;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
343;Flat Washer 2;FW-1400;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
344;Flat Washer 9;FW-3400;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
345;Flat Washer 4;FW-3800;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
346;Flat Washer 3;FW-5160;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
347;Flat Washer 8;FW-5800;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
348;Flat Washer 5;FW-7160;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
349;Flat Washer 7;FW-9160;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
350;Fork Crown;FC-3654;NULL;800;600;0;0;NULL;NULL;NULL;1;NULL
351;Front Derailleur Cage;FC-3982;Silver;800;600;0;0;NULL;NULL;NULL;0;NULL
352;Front Derailleur Linkage;FL-2301;Silver;800;600;0;0;NULL;NULL;NULL;0;NULL
355;Guide Pulley;GP-0982;NULL;800;600;0;0;NULL;NULL;NULL;0;NULL
356;LL Grip Tape;GT-0820;NULL;800;600;0;0;NULL;NULL;NULL;0;NULL
357;ML Grip Tape;GT-1209;NULL;800;600;0;0;NULL;NULL;NULL;0;NULL
358;HL Grip Tape;GT-2908;NULL;800;600;0;0;NULL;NULL;NULL;0;NULL
359;Thin-Jam Hex Nut 9;HJ-1213;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
360;Thin-Jam Hex Nut 10;HJ-1220;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
361;Thin-Jam Hex Nut 1;HJ-1420;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
362;Thin-Jam Hex Nut 2;HJ-1428;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
363;Thin-Jam Hex Nut 15;HJ-3410;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
364;Thin-Jam Hex Nut 16;HJ-3416;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
365;Thin-Jam Hex Nut 5;HJ-3816;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
366;Thin-Jam Hex Nut 6;HJ-3824;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
367;Thin-Jam Hex Nut 3;HJ-5161;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
368;Thin-Jam Hex Nut 4;HJ-5162;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
369;Thin-Jam Hex Nut 13;HJ-5811;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
370;Thin-Jam Hex Nut 14;HJ-5818;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
371;Thin-Jam Hex Nut 7;HJ-7161;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
372;Thin-Jam Hex Nut 8;HJ-7162;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
373;Thin-Jam Hex Nut 12;HJ-9080;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
374;Thin-Jam Hex Nut 11;HJ-9161;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
375;Hex Nut 5;HN-1024;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
376;Hex Nut 6;HN-1032;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
377;Hex Nut 16;HN-1213;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
378;Hex Nut 17;HN-1220;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
379;Hex Nut 7;HN-1224;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
380;Hex Nut 8;HN-1420;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
381;Hex Nut 9;HN-1428;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
382;Hex Nut 22;HN-3410;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
383;Hex Nut 23;HN-3416;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
384;Hex Nut 12;HN-3816;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
385;Hex Nut 13;HN-3824;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
386;Hex Nut 1;HN-4402;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
387;Hex Nut 10;HN-5161;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
388;Hex Nut 11;HN-5162;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
389;Hex Nut 2;HN-5400;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
390;Hex Nut 20;HN-5811;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
391;Hex Nut 21;HN-5818;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
392;Hex Nut 3;HN-6320;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
393;Hex Nut 14;HN-7161;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
394;Hex Nut 15;HN-7162;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
395;Hex Nut 4;HN-8320;NULL;1000;750;0;0;NULL;NULL;NULL;0;NULL
