addressid;addressline1;addressline2;city;postalcode
532;#500-75 O'Connor Street;NULL;Ottawa;K4B 1S2
497;#9900 2700 Production Way;NULL;Burnaby;V5A 4X1
29781;00, rue Saint-Lazare;NULL;Dunkerque;59140
24231;02, place de Fontenoy;NULL;Verrieres Le Buisson;91370
19637;035, boulevard du Montparnasse;NULL;Verrieres Le Buisson;91370
15671;081, boulevard du Montparnasse;NULL;Saint-Denis;93400
13079;081, boulevard du Montparnasse;NULL;Seattle;98104
21354;084, boulevard du Montparnasse;NULL;Les Ulis;91940
910;1 Corporate Center Drive;NULL;Miami;33127
322;1 Mt. Dell Drive;NULL;Portland;97205
12037;1 Smiling Tree Court;Space 55;Los Angeles;90012
20437;1, allée des Princes;NULL;Courbevoie;92400
21843;1, avenue des Champs-Elysées;NULL;Paris;75017
12753;1, boulevard Beau Marchais;NULL;Sèvres;92310
20289;1, cours Mirabeau;NULL;Roncq;59223
16455;1, place Beaubernard;NULL;Paris;75003
18991;1, place Beaubernard;NULL;Paris;75009
27348;1, place Beaubernard;NULL;Saint-Denis;93400
26115;1, place Beaubernard;NULL;Tremblay-en-France;93290
29410;1, place de Brazaville;NULL;Colomiers;31770
26916;1, place de Brazaville;NULL;Dunkerque;59140
28885;1, place de Brazaville;NULL;Lille;59000
708;1, place de la République;NULL;Paris;75017
23902;1, rue de Courtaboeuf;NULL;Lieusaint;77127
20814;1, rue de Courtaboeuf;NULL;Lille;59000
29062;1, rue de Courtaboeuf;NULL;Versailles;78000
21273;1, rue de Fontfroide;NULL;Paris;75003
28830;1, rue de l´Avenir;NULL;Chatou;78400
17417;1, rue de l´Avenir;NULL;Morangis;91420
24416;1, rue de la Cavalerie;NULL;Paris La Defense;92081
21700;1, rue de la Cavalerie;NULL;Roncq;59223
15839;1, rue de la Cavalerie;NULL;Sèvres;92310
23481;1, rue de la Centenaire;NULL;Cergy;95000
29507;1, rue de la Centenaire;NULL;Colombes;92700
26346;1, rue de la Centenaire;NULL;Les Ulis;91940
11774;1, rue de la Centenaire;NULL;Lille;59000
22052;1, rue de la Centenaire;NULL;Roubaix;59100
28024;1, rue de la Centenaire;NULL;Saint-Denis;93400
18707;1, rue de la Centenaire;NULL;Versailles;78000
19300;1, rue de Maubeuge;NULL;Metz;57000
16304;1, rue de Maubeuge;NULL;Morangis;91420
16055;1, rue de Maubeuge;NULL;Paris;75007
27160;1, rue de Maubeuge;NULL;Paris;75009
19001;1, rue de Maubeuge;NULL;Saint Germain en Laye;78100
25114;1, rue de Maubeuge;NULL;Villeneuve-d'Ascq;59491
26175;1, rue de Varenne;NULL;Boulogne-Billancourt;92100
23032;1, rue de Varenne;NULL;Dunkerque;59140
23381;1, rue Georges-Clémenceau;NULL;Paris;75003
23028;1, rue Lamarck;NULL;Versailles;78000
23625;1, rue Pierre-Demoulin;NULL;Croix;59170
21822;1, rue Pierre-Demoulin;NULL;Les Ulis;91940
22345;1, rue Pierre-Demoulin;NULL;Orleans;45000
13410;1, rue Pierre-Demoulin;NULL;Paris;75007
15845;1, rue Pierre-Demoulin;NULL;Paris;75012
19933;1, rue Ste-Honoré;NULL;Saint Ouen;41100
12062;10 Napa Ct.;NULL;Lebanon;97355
18835;10, avenue de Norvege;NULL;Paris;75005
18016;10, avenue du Port;NULL;Roissy en Brie;77680
12138;10, avenue du Président-Kennedy;NULL;Paris;75019
29409;10, impasse Ste-Madeleine;NULL;Tremblay-en-France;93290
29816;10, place Beaubernard;NULL;Verrieres Le Buisson;91370
17611;10, place de Fontenoy;NULL;Roubaix;59100
28379;10, route de Marseille;NULL;Pantin;93500
22261;10, rue de l´Avenir;NULL;Suresnes;92150
25952;10, rue de la Centenaire;NULL;Saint-Denis;93400
20955;10, rue de la Comédie;NULL;Lille;59000
23045;10, rue de Maubeuge;NULL;Orleans;45000
14096;10, rue des Vendangeurs;NULL;Saint Germain en Laye;78100
20738;10, rue Lafayette;NULL;Paris;75007
24898;10, rue Lauriston;NULL;Bobigny;93000
29847;10, rue Philibert-Delorme;NULL;Paris;75007
26855;10, rue Pierre-Demoulin;NULL;Orleans;45000
20876;10, rue Royale;NULL;Courbevoie;92400
16163;10, rue Royale;NULL;Sèvres;92310
911;100 Fifth Drive;NULL;Millington;38054
27590;100, boulevard d´Albi;NULL;Paris;75006
26489;100, rue de la Centenaire;NULL;Paris La Defense;92081
18967;100, rue des Rosiers;NULL;Everett;98201
18205;100, rue des Rosiers;NULL;Pantin;93500
29281;100, rue Descartes;NULL;Boulogne-Billancourt;92100
25486;100, rue Jean Mermoz;NULL;Paris;75002
25115;100, rue Maillard;NULL;Roubaix;59100
15272;1000 Bidweld Street;NULL;Haney;V2W 1W2
27558;1001, rue des Bouchers;NULL;Paris;75012
18858;1001bis, boulevard Saint Germain;NULL;Roubaix;59100
26229;1002 N. Spoonwood Court;NULL;Berkeley;94704
24883;1002 N. Spoonwood Court;NULL;Hervey Bay;4655
19379;1003 Matterhorn Ct;NULL;Lebanon;97355
15776;1004, rue des Bouchers;NULL;Paris;75019
19638;1005 Fremont Street;NULL;Colma;94014
14068;1005 Matterhorn Ct.;NULL;Cambridge;CB4 4BZ
21245;1005 Matterhorn Ct.;NULL;Mill Valley;94941
25310;1005 Tanager Court;NULL;Corvallis;97330
23089;1005 Tanager Court;NULL;Milsons Point;2061
21707;1005 Valley Oak Plaza;NULL;Langley;V3A 4R2
28674;1005 Valley Oak Plaza;NULL;London;SW6 SBY
24412;1005, rue des Bouchers;NULL;Colombes;92700
19673;1005, rue des Bouchers;NULL;Saint-Denis;93400
19506;1006 Deercreek Ln;NULL;Bellflower;90706
21094;1006 Deercreek Ln;NULL;Torrance;90505
24427;1007 Cardinet Dr.;NULL;El Cajon;92020
22959;1008 Lydia Lane;NULL;Burbank;91502
24827;1009, rue des Bouchers;NULL;Colomiers;31770
11975;101 Adobe Dr;NULL;Coffs Harbour;2450
13715;101 Adobe Dr;NULL;Puyallup;98371
215;101 Candy Rd.;NULL;Redmond;98052
13669;101, avenue de la Gare;NULL;Peterborough;PB12
14087;101, avenue de la Gare;NULL;Roissy en Brie;77680
11832;101, avenue des Champs-Elysées;NULL;Colombes;92700
21677;101, avenue Reille;NULL;Versailles;78000
17455;101, rue de Cambrai;NULL;Roubaix;59100
25462;101, rue de Terre Neuve;NULL;Paris;75010
17558;101, rue Léo Delibes;NULL;Paris;75009
11383;1010 Maple;NULL;Baltimore;21201
14597;1010, avenue de l´ Union Centrale;NULL;Saint Germain en Laye;78100
21574;1010, impasse Notre-Dame;NULL;Orleans;45000
21686;1011 Green St.;NULL;Bellingham;98225
24373;1011 Yolanda Circle;NULL;Berkeley;94704
21121;1011 Yolanda Circle;NULL;N. Vancouver;V7L 4J4
25059;1011, avenue Foch;NULL;Pantin;93500
28226;1013 Buchanan Rd;NULL;Port Macquarie;2444
28485;1013 Buchanan Rd;NULL;Yakima;98901
25633;1013 Holiday Hills Dr.;NULL;Bremerton;98312
26683;1013 Holiday Hills Dr.;NULL;Gateshead;GA10
20313;1015 Lynwood Drive;NULL;Metchosin;V9
11855;1016 Park Avenue;NULL;Burbank;91502
15922;1019 Book Road;NULL;Rhodes;2138
25529;1019 Buchanan Road;NULL;Woodland Hills;91364
18917;1019 Candy Rd.;NULL;Coffs Harbour;2450
21281;1019 Carletto Drive;NULL;Berkeley;94704
12444;1019 Chance Drive;NULL;Sedro Woolley;98284
27779;1019 Kenwal Rd.;NULL;Lake Oswego;97034
28433;1019 Mt. Davidson Court;NULL;Burien;98168
17038;1019 Mt. Davidson Court;NULL;London;SW8 4BG
13354;1019 Pennsylvania Blvd;NULL;Marysville;98270
355;102 Silverado Drive;NULL;W. Linn;97068
27547;102 Vista Place;NULL;Milton Keynes;MK8 8DF
15015;102 Vista Place;NULL;Santa Monica;90401
11456;102, rue de Berri;NULL;Les Ulis;91940
12359;1020 Book Road;NULL;Bremerton;98312
25449;1020 Carletto Drive;NULL;Matraville;2036
27683;1020 Carletto Drive;NULL;Santa Cruz;95062
19089;1020, quai de Grenelle;NULL;Croix;59170
15467;1020, quai de Grenelle;NULL;Versailles;78000
33;10203 Acorn Avenue;NULL;Calgary;T2P 2G8
11706;1023 Hawkins Street;NULL;Lebanon;97355
27149;1023 Hawkins Street;NULL;Townsville;4810
26959;1023 Riveria Way;NULL;Burbank;91502
12148;1023 Riviera Way;NULL;Oxford;OX1
22014;1024 Walnut Blvd.;NULL;Colma;94014
29504;1025 Holly Oak Drive;NULL;Leeds;LE18
29096;1025 R St.;NULL;Kirkland;98033
12787;1025 Yosemite Dr.;NULL;Oregon City;97045
24604;1025 Yosemite Dr.;NULL;Townsville;4810
27875;10257, avenue de l´Europe;NULL;Saint-Denis;93400
21807;1026 Mt. Wilson Pl.;NULL;Lynnwood;98036
24165;1026 Mt. Wilson Pl.;NULL;South Melbourne;3205
20407;1028 Green View Court;NULL;Chula Vista;91910
18329;1028 Green View Court;NULL;Oregon City;97045
26805;1028 Indigo Ct.;NULL;Issaquah;98027
19489;1028 Indigo Ct.;NULL;Warrnambool;3280
24310;1028 Royal Oak Rd.;NULL;Burlingame;94010
27838;1029 Birchwood Dr;NULL;Burien;98168
14851;1029 Birchwood Dr;NULL;Olympia;98501
19207;103, avenue des Champs-Elysées;NULL;Paris La Defense;92081
17984;103, rue de Fontfroide;NULL;Lille;59000
17950;1030 Ambush Dr.;NULL;Bury;PE17
11856;1032 Buena Vista;NULL;North Ryde;2113
18817;1032 Coats Road;NULL;Stoke-on-Trent;AS23
16962;1032 Cowell Road;NULL;Colombes;92700
23530;1035 Arguello Blvd.;NULL;San Diego;92102
29248;1035, boulevard du Montparnasse;NULL;Paris;75002
17385;1036 Mason Dr;NULL;Port Orchard;98366
19388;1037 Hayes Court;NULL;Stoke-on-Trent;AS23
25893;1039 Adelaide St.;NULL;Port Macquarie;2444
22698;1039 Adelaide St.;NULL;West Covina;91791
28740;1039, rue Mazagran;NULL;Drancy;93700
24852;104 Hilltop Dr.;NULL;Concord;94519
26156;104 Hilltop Dr.;NULL;Springwood;2777
21304;104 Kaski Ln.;NULL;Portland;97205
21223;1040 Greenbush Drive;NULL;Newton;V2L3W8
27234;1040 Greenbush Drive;NULL;Silverwater;2264
20210;1040 Northridge Road;NULL;London;W1X3SE
24829;1040 Northridge Road;NULL;Woodland Hills;91364
24007;1042 Hooftrail Way;NULL;Newcastle;2300
20090;1044 San Carlos;NULL;Cincinnati;45202
19128;1045 Lolita Drive;NULL;Torrance;90505
27798;1045 Lolita Drive;NULL;Townsville;4810
21596;1046 Cloverleaf Circle;NULL;Shawnee;V8Z 4N5
15654;1046 San Carlos Avenue;NULL;Colma;94014
29004;1047 Las Quebradas Lane;NULL;North Sydney;2055
15558;1047 Las Quebradas Lane;NULL;Oak Bay;V8P
25019;1048 Burwood Way;NULL;Haney;V2W 1W2
17568;1048 Burwood Way;NULL;Hervey Bay;4655
20910;1048 Las Quebradas Lane;NULL;Walla Walla;99362
24431;1048 Las Quebradas Lane;NULL;Wollongong;2500
25867;105 Clark Creek Lane;NULL;Port Macquarie;2444
12650;105 Woodruff Ln.;NULL;Bellingham;98225
24162;105 Woodruff Ln.;NULL;Oakland;94611
13883;1050 Creed Ave;NULL;Lebanon;97355
25816;1050 Creed Ave;NULL;London;W10 6BL
26942;1050 Greenhills Circle;NULL;Lane Cove;1597
16841;1050 Greenhills Circle;NULL;Langley;V3A 4R2
859;1050 Oak Street;NULL;Seattle;98104
26989;1052 Stanford Street;NULL;El Cajon;92020
19979;1053 Rain Drop Circle;NULL;Warrnambool;3280
15460;1054 Vine Circle;NULL;Burbank;91502
20017;1054 Vloching Circle;NULL;York;Y024 1GF
27652;1055 Horseshoe Road;NULL;London;SW1P 2NU
19747;1055, rue Basse-du-Rocher;NULL;Paris;75009
11788;10570, rue Lamarck;NULL;Saint Germain en Laye;78100
21287;10571, rue de Varenne;NULL;Lieusaint;77127
29123;1058 Kirker Pass Road;NULL;Bendigo;3550
20038;1058 Kirker Pass Road;NULL;Westminster;V3L 1H4
