creditcardid;cardtype;cardnumber;expmonth;expyear
1;SuperiorCard;3.33327E+13;11;2006
2;Distinguish;5.55521E+13;8;2005
3;ColonialVoice;7.77783E+13;7;2005
4;ColonialVoice;7.77749E+13;7;2006
5;Vista;1.11144E+13;4;2005
6;Distinguish;5.55571E+13;9;2006
7;Distinguish;5.55536E+13;6;2007
8;SuperiorCard;3.33361E+13;7;2007
9;Distinguish;5.55535E+13;2;2005
10;SuperiorCard;3.33321E+13;8;2008
11;SuperiorCard;3.33354E+13;10;2008
12;SuperiorCard;3.33343E+13;4;2008
13;Vista;1.11198E+13;11;2005
14;Distinguish;5.55533E+13;10;2006
15;SuperiorCard;3.33369E+13;11;2008
16;Vista;1.1112E+13;8;2006
17;ColonialVoice;7.77712E+13;8;2008
18;ColonialVoice;7.7774E+13;8;2007
19;ColonialVoice;7.77798E+13;9;2007
20;SuperiorCard;3.33322E+13;3;2007
21;SuperiorCard;3.33365E+13;3;2006
22;ColonialVoice;7.7772E+13;3;2005
23;Vista;1.11172E+13;7;2006
24;Vista;1.11117E+13;11;2005
25;Vista;1.11199E+13;1;2007
26;Distinguish;5.55542E+13;11;2008
27;SuperiorCard;3.33338E+13;12;2008
28;SuperiorCard;3.3337E+13;12;2006
29;SuperiorCard;3.33336E+13;2;2007
30;Vista;1.11113E+13;6;2006
31;Vista;1.1112E+13;10;2008
32;Distinguish;5.55525E+13;6;2006
33;SuperiorCard;3.33356E+13;2;2006
34;Vista;1.11153E+13;10;2006
35;SuperiorCard;3.3333E+13;2;2007
36;Vista;1.11112E+13;11;2006
37;Distinguish;5.55513E+13;7;2007
38;Distinguish;5.55554E+13;7;2008
39;Vista;1.11175E+13;5;2005
40;Distinguish;5.55558E+13;4;2008
41;Vista;1.11138E+13;7;2008
42;Distinguish;5.55551E+13;3;2005
43;SuperiorCard;3.33328E+13;3;2006
44;ColonialVoice;7.77792E+13;6;2007
45;Distinguish;5.5552E+13;4;2006
46;SuperiorCard;3.33313E+13;12;2005
47;Distinguish;5.55516E+13;3;2008
48;SuperiorCard;3.33387E+13;3;2008
49;SuperiorCard;3.33378E+13;6;2008
50;ColonialVoice;7.77768E+13;5;2007
51;SuperiorCard;3.33371E+13;3;2007
52;Vista;1.11131E+13;3;2008
53;ColonialVoice;7.77722E+13;5;2006
54;Distinguish;5.55533E+13;12;2006
55;ColonialVoice;7.77766E+13;5;2008
56;Distinguish;5.55515E+13;7;2007
57;ColonialVoice;7.77753E+13;10;2008
